C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_153.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_153.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_153.jpg, 0, 0, 0, 7.846517
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_263.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_263.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_263.jpg, 0, 0, 0, 7.752117
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_377.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_377.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_377.jpg, 0, 0, 0, 7.658852
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_479.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_479.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_479.jpg, 0, 0, 0, 7.581988
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_597.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_597.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_597.jpg, 0, 0, 0, 7.490771
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_714.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_714.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_714.jpg, -0.3484539, 0, 0, 7.385984
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_818.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_818.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_818.jpg, -0.659884, 0.1207539, 0, 7.253228
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_22_934.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_22_934.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_22_934.jpg, -0.313072, 0.4675659, 0, 7.58281
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_23_054.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_23_054.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_23_054.jpg, 0, 0.8292654, 0, 8.437786
C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\center_2021_12_07_19_05_23_169.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\left_2021_12_07_19_05_23_169.jpg, C:\Users\Dhrub\Desktop\Self car driving\MyData\IMG\right_2021_12_07_19_05_23_169.jpg, 0, 1, 0, 9.744857
